id,price
ABY0111,27.83
ADD0111,29.70
ADD0661,29.61
ALB0331,37.27
ALB1101,37.76
APS0111,27.16
ARA2201,35.09
ARG1101,30.43
ARI1101,34.22
ARI1102,36.82
ASB0331,29.20
ASB0661,29.10
ASY0111,30.25
ATI2201,35.91
ATU1101,31.39
AVI2201,28.78
BAL0331,28.14
BDE0111,27.43
BEN2201,28.79
BEN2202,28.79
BLN0331,30.94
BOB0331,37.42
BOB1101,37.37
BPD1101,29.16
BPE0331,34.00
BPE0551,34.02
BPE2201,33.95
BPT1101,29.10
BRB0331,37.60
BRK0331,34.46
BRY0111,29.67
BRY0661,29.44
BWK1101,27.70
CBG0111,37.04
CLH0111,26.63
CML0331,27.31
COB0661,28.25
COL0111,26.27
COL0661,26.26
CPK0111,33.85
CPK0331,33.78
CST0331,34.47
CUL0331,29.85
CUL0661,29.92
CYD0331,27.02
CYD2201,27.00
DOB0331,31.76
DOB0661,31.71
DVK0111,33.79
EDG0331,36.21
EDN0331,27.36
FHL0331,35.74
FKN0331,27.64
GFD0331,33.49
GIS0501,35.80
GLN0331,36.79
GLN0332,36.73
GOR0331,27.51
GYM0661,31.85
GYT0331,33.89
HAM0111,36.87
HAM0331,36.79
HAM0551,36.72
HAM2201,36.65
HAY0111,33.60
HAY0331,33.50
HAY1101,33.41
HAY2201,33.36
HEN0331,37.07
HEN2201,37.02
HEP0331,37.26
HIN0331,38.03
HKK0661,27.71
HLY0331,36.38
HLY2201,36.35
HOR0331,28.75
HOR0661,28.69
HTI0331,37.75
HUI0331,34.70
HWA0331,34.22
HWA0332,34.23
HWA1101,34.18
HWA1102,34.18
HWB0331,27.07
HWB0332,27.17
HWB2201,27.04
INV0331,26.46
INV2201,26.38
INV2202,26.38
ISL0331,29.53
ISL0661,29.53
ISL2201,29.50
KAI0111,30.27
KAW0111,35.65
KAW0112,35.53
KAW0113,35.80
KAW1101,35.58
KAW2201,35.76
KEN0331,37.87
KIK0111,30.22
KIN0111,35.85
KIN0112,35.59
KIN0113,35.95
KIN0331,35.72
KMO0331,36.51
KOE1101,38.34
KPA1101,34.02
KPO1101,37.06
KPU0661,37.73
KUM0661,27.13
KWA0111,33.76
LFD1101,35.83
LFD1102,35.83
LTN0331,33.91
MAN2201,25.06
MAT1101,35.46
MAT1102,35.79
MCH0111,30.57
MDN1101,37.55
MDN2201,37.53
MER0331,37.74
MGM0331,33.78
MHO0331,34.23
MKE1101,34.62
MLG0111,33.55
MLG0331,33.57
MLN0661,29.58
MLN0664,29.58
MNG0331,36.71
MNG1101,36.57
MNI0111,34.64
MOT0111,30.04
MPE1101,37.76
MPI0661,29.08
MST0331,34.09
MTI2201,36.00
MTM0331,36.63
MTN0331,34.19
MTO0331,41.15
MTR0331,34.75
NAP2201,34.92
NAP2202,34.92
NMA0331,26.25
NPK0331,36.09
NPL0331,34.41
NPL1101,34.37
NPL2201,34.34
NSY0331,28.50
OAM0331,29.54
OHA2201,28.58
OHB2201,28.63
OHC2201,28.67
OHK2201,35.74
OKI2201,35.00
OKN0111,35.54
ONG0331,36.51
OPK0331,34.39
ORO1101,31.03
ORO1102,31.12
OTA0221,36.99
OTA1101,36.86
OTA1102,36.55
OTA2201,36.76
OTA2202,36.76
OTI0111,27.34
OWH0111,36.37
PAK0331,36.78
PAL0331,27.67
PAO1101,37.14
PEN0221,37.33
PEN0251,37.08
PEN0331,37.29
PEN1101,37.16
PNI0331,33.63
PPI2201,35.22
PRM0331,33.85
RDF0331,35.63
RDF2201,35.55
RFN1101,31.01
RFN1102,31.00
ROS0221,37.42
ROS1101,37.19
ROT0111,36.73
ROT0331,36.56
ROT1101,36.32
ROX1101,26.66
ROX2201,26.80
RPO2201,34.69
SBK0331,30.11
SDN0331,27.14
SFD0331,34.19
SFD2201,34.20
SPN0331,29.81
SPN0661,29.76
STK0331,30.46
STK2201,30.38
STU0111,29.57
SVL0331,37.30
SWN0251,36.86
SWN2201,36.81
TAK0331,36.74
TGA0111,36.58
TGA0331,36.59
THI2201,35.23
TIM0111,29.22
TKA0111,26.31
TKA0331,26.43
TKB2201,28.71
TKH0111,38.35
TKR0331,33.56
TKU0331,34.64
TKU2201,34.59
TMI0331,36.45
TMK0331,29.26
TMN0551,35.08
TMU0111,37.33
TMU1101,37.28
TNG0111,34.53
TNG0551,34.52
TRK0111,36.23
TRK2201,36.17
TUI0111,34.92
TUI1101,34.82
TWC2201,33.81
TWH0331,36.15
TWI2201,26.42
TWZ0331,28.64
UHT0331,33.50
WAI0111,36.48
WDV0111,33.58
WDV1101,33.55
WEL0331,40.80
WGN0331,34.60
WHI0111,35.60
WHI2201,35.49
WHU0331,37.33
WIL0331,33.51
WIR0331,37.16
WKM2201,36.03
WKO0331,37.49
WPA2201,35.98
WPR0331,29.71
WPR0661,29.67
WPT0111,31.22
WPW0331,34.25
WRA0111,35.05
WRD0331,37.76
WRK0331,35.06
WRK2201,35.11
WTK0111,28.76
WTK0331,29.04
WTK2201,28.79
WTU0331,35.63
WVY0111,34.38
WWD1102,33.60
WWD1103,33.60
